START: 0xb7fdf1d0
mov eax, esp	0xb7fdf1d0
add eax, 0x1	0xb7fe8d87
mov dword ptr [esi+0x254], edx	0xb7fe8d8a
adc edx, 0x0	0xb7fe8d90
mov dword ptr [ebx+0x520], eax	0xb7fe8d93
mov dword ptr [ebx+0x524], edx	0xb7fe8d99
call dword ptr [ebx+0x824]	0xb7fe8d9f
START: 0xb7fdf250
mov eax, dword ptr [esp+0x4]	0xb7fdf250
sub dword ptr [eax+0x4], 0x1	0xb7fdf254
ret 	0xb7fdf258
START: 0xb7fe8da5
mov ebx, dword ptr [esp+0x1c]	0xb7fe8da5
mov esi, dword ptr [esp+0x20]	0xb7fe8da9
mov edi, dword ptr [esp+0x24]	0xb7fe8dad
mov ebp, dword ptr [esp+0x28]	0xb7fe8db1
add esp, 0x2c	0xb7fe8db5
ret 	0xb7fe8db8
START: 0xb7fe4c3f
mov edx, dword ptr [ebx-0x198]	0xb7fe4c3f
test edx, edx	0xb7fe4c45
jnz 0xb7fe4f3f	0xb7fe4c47
lea esp, ptr [ebp-0xc]	0xb7fe4c4d
mov eax, edi	0xb7fe4c50
pop ebx	0xb7fe4c52
pop esi	0xb7fe4c53
pop edi	0xb7fe4c54
pop ebp	0xb7fe4c55
ret 	0xb7fe4c56
START: 0xb7fe63b0
add esp, 0x26c	0xb7fe63b0
pop ebx	0xb7fe63b6
pop esi	0xb7fe63b7
mov edi, eax	0xb7fe63b8
mov eax, edi	0xb7fe63ba
pop edi	0xb7fe63bc
pop ebp	0xb7fe63bd
ret 0xc	0xb7fe63be
START: 0xb7feb178
sub esp, 0xc	0xb7feb178
mov dword ptr [esi+0x14], eax	0xb7feb17b
mov edi, dword ptr [esp+0x14]	0xb7feb17e
mov esi, dword ptr [esp+0x10]	0xb7feb182
mov ebp, dword ptr [esp+0x18]	0xb7feb186
add esp, 0x1c	0xb7feb18a
ret 	0xb7feb18d
START: 0xb7fecccf
mov eax, dword ptr [esp+0xcc]	0xb7fecccf
mov edx, dword ptr [esp+0x10]	0xb7feccd6
mov dword ptr [edx], eax	0xb7feccda
mov eax, dword ptr [esp+0x14]	0xb7feccdc
mov edx, dword ptr [esp+0x18]	0xb7fecce0
mov dword ptr [eax], 0x0	0xb7fecce4
mov eax, dword ptr [esp+0x1c]	0xb7feccea
mov dword ptr [edx], 0x0	0xb7feccee
mov byte ptr [eax], 0x0	0xb7feccf4
add esp, 0xd4	0xb7feccf7
mov eax, esi	0xb7feccfd
pop ebx	0xb7feccff
pop esi	0xb7fecd00
ret 0x8	0xb7fecd01
START: 0xb7feb366
mov ecx, dword ptr [ebp-0x24]	0xb7feb366
sub esp, 0x8	0xb7feb369
test ecx, ecx	0xb7feb36c
jnz 0xb7feb948	0xb7feb36e
mov eax, dword ptr [ebp-0x28]	0xb7feb374
test byte ptr [eax+0x194], 0x60	0xb7feb377
jnz 0xb7feb2f8	0xb7feb37e
mov ecx, dword ptr [ebp-0x64]	0xb7feb384
sub esp, 0x20	0xb7feb387
lea edx, ptr [esp+0x1f]	0xb7feb38a
and edx, 0xfffffff0	0xb7feb38e
add dword ptr [ebp-0x68], 0x1	0xb7feb391
mov dword ptr [edx+0x8], 0x0	0xb7feb395
mov dword ptr [edx+0x4], eax	0xb7feb39c
mov dword ptr [edx], 0x0	0xb7feb39f
mov dword ptr [ecx+0x8], edx	0xb7feb3a5
movzx ecx, byte ptr [eax+0x194]	0xb7feb3a8
and ecx, 0xffffff9f	0xb7feb3af
or ecx, 0x20	0xb7feb3b2
mov byte ptr [eax+0x194], cl	0xb7feb3b5
mov dword ptr [ebp-0x64], edx	0xb7feb3bb
jmp 0xb7feb2f8	0xb7feb3be
START: 0xb7feb2f8
mov edx, dword ptr [ebp-0x54]	0xb7feb2f8
test edx, edx	0xb7feb2fb
jz 0xb7feb30e	0xb7feb2fd
mov edx, dword ptr [ebp-0x50]	0xb7feb2ff
mov ecx, dword ptr [ebp-0x54]	0xb7feb302
mov dword ptr [ecx+edx*4], eax	0xb7feb305
add edx, 0x1	0xb7feb308
mov dword ptr [ebp-0x50], edx	0xb7feb30b
add edi, 0x8	0xb7feb30e
mov eax, dword ptr [edi]	0xb7feb311
test eax, eax	0xb7feb313
jz 0xb7feb3e6	0xb7feb315
cmp eax, 0x1	0xb7feb31b
jnz 0xb7febba9	0xb7feb31e
START: 0xb7feb30e
add edi, 0x8	0xb7feb30e
mov eax, dword ptr [edi]	0xb7feb311
test eax, eax	0xb7feb313
jz 0xb7feb3e6	0xb7feb315
cmp eax, 0x1	0xb7feb31b
jnz 0xb7febba9	0xb7feb31e
mov ecx, dword ptr [ebp-0x58]	0xb7feb324
add ecx, dword ptr [edi+0x4]	0xb7feb327
mov dword ptr [ebp-0x4c], ecx	0xb7feb32a
mov dword ptr [esp+0x4], 0x24	0xb7feb32d
mov dword ptr [esp], ecx	0xb7feb335
call 0xb7ff6060	0xb7feb338
START: 0xb7febba9
cmp eax, 0x7fffffff	0xb7febba9
jz 0xb7febbbb	0xb7febbae
cmp eax, 0x7ffffffd	0xb7febbb0
jnz 0xb7feb30e	0xb7febbb5
mov eax, dword ptr [ebp-0x58]	0xb7febbbb
add eax, dword ptr [edi+0x4]	0xb7febbbe
mov dword ptr [ebp-0x4c], eax	0xb7febbc1
mov dword ptr [esp+0x4], 0x24	0xb7febbc4
mov dword ptr [esp], eax	0xb7febbcc
call 0xb7ff6060	0xb7febbcf
START: 0xb7feb3e6
mov eax, dword ptr [ebp-0x54]	0xb7feb3e6
test eax, eax	0xb7feb3e9
jz 0xb7feb471	0xb7feb3eb
mov edx, dword ptr [ebp-0x50]	0xb7feb3f1
mov ecx, dword ptr [ebp-0x54]	0xb7feb3f4
mov dword ptr [ecx+edx*4], 0x0	0xb7feb3f7
add edx, 0x1	0xb7feb3fe
lea eax, ptr [edx*8+0x4]	0xb7feb401
mov dword ptr [esp], eax	0xb7feb408
mov dword ptr [ebp-0x90], edx	0xb7feb40b
call 0xb7fde7d0	0xb7feb411
START: 0xb7feb471
mov esi, dword ptr [ebp-0x70]	0xb7feb471
mov edi, dword ptr [esi]	0xb7feb474
test edi, edi	0xb7feb476
jz 0xb7feb28e	0xb7feb478
mov eax, esi	0xb7feb47e
mov eax, dword ptr [eax+0x8]	0xb7feb480
test eax, eax	0xb7feb483
jz 0xb7feb50d	0xb7feb485
mov edx, dword ptr [eax]	0xb7feb48b
test edx, edx	0xb7feb48d
jnz 0xb7feb480	0xb7feb48f
START: 0xb7feb491
mov dword ptr [ebp-0x70], eax	0xb7feb491
jmp 0xb7feb28e	0xb7feb494
START: 0xb7feb28e
mov eax, dword ptr [ebp-0x70]	0xb7feb28e
mov dword ptr [ebp-0x54], 0x0	0xb7feb291
mov esi, dword ptr [eax+0x4]	0xb7feb298
mov dword ptr [eax], 0x1	0xb7feb29b
mov eax, dword ptr [esi+0x15c]	0xb7feb2a1
test eax, eax	0xb7feb2a7
jz 0xb7feb499	0xb7feb2a9
mov eax, dword ptr [esi+0x24]	0xb7feb2af
test eax, eax	0xb7feb2b2
jz 0xb7feb3c3	0xb7feb2b4
mov eax, dword ptr [esi+0x34]	0xb7feb2ba
mov edi, dword ptr [esi+0x8]	0xb7feb2bd
mov ecx, dword ptr [ebp+0x8]	0xb7feb2c0
mov dword ptr [ebp-0x3c], esi	0xb7feb2c3
mov eax, dword ptr [eax+0x4]	0xb7feb2c6
mov dword ptr [ebp-0x38], ecx	0xb7feb2c9
mov dword ptr [ebp-0x58], eax	0xb7feb2cc
mov dword ptr [ebp-0x30], eax	0xb7feb2cf
mov eax, dword ptr [ebp+0xc]	0xb7feb2d2
mov dword ptr [ebp-0x34], eax	0xb7feb2d5
mov eax, dword ptr [edi]	0xb7feb2d8
test eax, eax	0xb7feb2da
jz 0xb7feb3df	0xb7feb2dc
START: 0xb7feb4c0
movzx eax, ax	0xb7feb4c0
mov edx, dword ptr [ebp-0x80]	0xb7feb4c3
shl eax, 0x2	0xb7feb4c6
cmp eax, dword ptr [ebp-0x84]	0xb7feb4c9
mov dword ptr [ebp-0x54], edx	0xb7feb4cf
jbe 0xb7feb2af	0xb7feb4d2
add eax, 0xf	0xb7feb4d8
and eax, 0xfffffff0	0xb7feb4db
lea edx, ptr [eax+0x1e]	0xb7feb4de
and edx, 0xffff0	0xb7feb4e1
sub esp, edx	0xb7feb4e7
lea edx, ptr [esp+0x1f]	0xb7feb4e9
and edx, 0xfffffff0	0xb7feb4ed
lea ecx, ptr [edx+eax*1]	0xb7feb4f0
cmp dword ptr [ebp-0x80], ecx	0xb7feb4f3
jz 0xb7fec0a7	0xb7feb4f6
mov dword ptr [ebp-0x54], edx	0xb7feb4fc
mov dword ptr [ebp-0x84], eax	0xb7feb4ff
mov dword ptr [ebp-0x80], edx	0xb7feb505
jmp 0xb7feb2af	0xb7feb508
START: 0xb7ff60ad
mov cl, byte ptr [eax]	0xb7ff60ad
cmp dl, cl	0xb7ff60af
jz 0xb7ff61ed	0xb7ff60b1
cmp cl, 0x0	0xb7ff60b7
jz 0xb7ff621a	0xb7ff60ba
inc eax	0xb7ff60c0
mov ecx, dword ptr [eax]	0xb7ff60c1
mov ebp, 0xfefefeff	0xb7ff60c3
mov edi, 0xfefefeff	0xb7ff60c8
add ebp, ecx	0xb7ff60cd
xor ebp, ecx	0xb7ff60cf
add edi, ecx	0xb7ff60d1
lea eax, ptr [eax+0x4]	0xb7ff60d3
jnb 0xb7ff61f2	0xb7ff60d6
START: 0xb7ff60dc
mov ebx, ecx	0xb7ff60dc
or ebp, 0xfefefeff	0xb7ff60de
add ebp, 0x1	0xb7ff60e4
jnz 0xb7ff61f2	0xb7ff60e7
mov esi, 0xfefefeff	0xb7ff60ed
xor ebx, edx	0xb7ff60f2
mov ecx, dword ptr [eax]	0xb7ff60f4
add esi, ebx	0xb7ff60f6
mov edi, 0xfefefeff	0xb7ff60f8
jnb 0xb7ff61d7	0xb7ff60fd
mov ebp, edi	0xb7ff6103
xor esi, ebx	0xb7ff6105
add ebp, ecx	0xb7ff6107
or esi, 0xfefefeff	0xb7ff6109
add esi, 0x1	0xb7ff610f
jnz 0xb7ff61d7	0xb7ff6112
START: 0xb7ff6118
xor ebp, ecx	0xb7ff6118
add edi, ecx	0xb7ff611a
lea eax, ptr [eax+0x4]	0xb7ff611c
jnb 0xb7ff61f2	0xb7ff611f
mov ebx, ecx	0xb7ff6125
or ebp, 0xfefefeff	0xb7ff6127
add ebp, 0x1	0xb7ff612d
jnz 0xb7ff61f2	0xb7ff6130
mov esi, 0xfefefeff	0xb7ff6136
xor ebx, edx	0xb7ff613b
mov ecx, dword ptr [eax]	0xb7ff613d
add esi, ebx	0xb7ff613f
mov edi, 0xfefefeff	0xb7ff6141
jnb 0xb7ff61d7	0xb7ff6146
START: 0xb7ff614c
mov ebp, edi	0xb7ff614c
xor esi, ebx	0xb7ff614e
add ebp, ecx	0xb7ff6150
or esi, 0xfefefeff	0xb7ff6152
add esi, 0x1	0xb7ff6158
jnz 0xb7ff61d7	0xb7ff615b
xor ebp, ecx	0xb7ff615d
add edi, ecx	0xb7ff615f
lea eax, ptr [eax+0x4]	0xb7ff6161
jnb 0xb7ff61f2	0xb7ff6164
mov ebx, ecx	0xb7ff616a
or ebp, 0xfefefeff	0xb7ff616c
add ebp, 0x1	0xb7ff6172
jnz 0xb7ff61f2	0xb7ff6175
START: 0xb7ff6177
mov esi, 0xfefefeff	0xb7ff6177
xor ebx, edx	0xb7ff617c
mov ecx, dword ptr [eax]	0xb7ff617e
add esi, ebx	0xb7ff6180
mov edi, 0xfefefeff	0xb7ff6182
jnb 0xb7ff61d7	0xb7ff6187
mov ebp, edi	0xb7ff6189
xor esi, ebx	0xb7ff618b
add ebp, ecx	0xb7ff618d
or esi, 0xfefefeff	0xb7ff618f
add esi, 0x1	0xb7ff6195
jnz 0xb7ff61d7	0xb7ff6198
xor ebp, ecx	0xb7ff619a
add edi, ecx	0xb7ff619c
lea eax, ptr [eax+0x4]	0xb7ff619e
jnb 0xb7ff61f2	0xb7ff61a1
START: 0xb7ff61a3
mov ebx, ecx	0xb7ff61a3
or ebp, 0xfefefeff	0xb7ff61a5
add ebp, 0x1	0xb7ff61ab
jnz 0xb7ff61f2	0xb7ff61ae
mov esi, 0xfefefeff	0xb7ff61b0
xor ebx, edx	0xb7ff61b5
mov ecx, dword ptr [eax]	0xb7ff61b7
add esi, ebx	0xb7ff61b9
mov edi, 0xfefefeff	0xb7ff61bb
jnb 0xb7ff61d7	0xb7ff61c0
mov ebp, edi	0xb7ff61c2
xor esi, ebx	0xb7ff61c4
add ebp, ecx	0xb7ff61c6
or esi, 0xfefefeff	0xb7ff61c8
add esi, 0x1	0xb7ff61ce
jz 0xb7ff60cf	0xb7ff61d1
START: 0xb7feb416
mov edx, dword ptr [ebp-0x90]	0xb7feb416
test eax, eax	0xb7feb41c
mov edi, eax	0xb7feb41e
jz 0xb7febcbe	0xb7feb420
shl edx, 0x2	0xb7feb426
mov dword ptr [eax], esi	0xb7feb429
lea eax, ptr [eax+0x4]	0xb7feb42b
mov dword ptr [esp+0x8], edx	0xb7feb42e
mov ecx, dword ptr [ebp-0x54]	0xb7feb432
mov dword ptr [esp], eax	0xb7feb435
mov dword ptr [esp+0x4], ecx	0xb7feb438
mov dword ptr [ebp-0x90], edx	0xb7feb43c
call 0xb7ff6a30	0xb7feb442
START: 0xb7feb447
mov ecx, dword ptr [ebp-0x50]	0xb7feb447
mov edx, dword ptr [ebp-0x90]	0xb7feb44a
mov dword ptr [esp+0x4], edi	0xb7feb450
lea eax, ptr [edi+ecx*4+0x8]	0xb7feb454
mov dword ptr [esp+0x8], edx	0xb7feb458
mov dword ptr [esp], eax	0xb7feb45c
call 0xb7ff6a30	0xb7feb45f
START: 0xb7feb464
or byte ptr [esi+0x196], 0x1	0xb7feb464
mov dword ptr [esi+0x1f0], edi	0xb7feb46b
mov esi, dword ptr [ebp-0x70]	0xb7feb471
mov edi, dword ptr [esi]	0xb7feb474
test edi, edi	0xb7feb476
jz 0xb7feb28e	0xb7feb478
mov eax, esi	0xb7feb47e
mov eax, dword ptr [eax+0x8]	0xb7feb480
test eax, eax	0xb7feb483
jz 0xb7feb50d	0xb7feb485
mov edx, dword ptr [eax]	0xb7feb48b
test edx, edx	0xb7feb48d
jnz 0xb7feb480	0xb7feb48f
START: 0xb7feb3c3
mov eax, dword ptr [esi+0xf0]	0xb7feb3c3
test eax, eax	0xb7feb3c9
jnz 0xb7feb2ba	0xb7feb3cb
mov eax, dword ptr [esi+0xe8]	0xb7feb3d1
test eax, eax	0xb7feb3d7
jnz 0xb7feb2ba	0xb7feb3d9
mov dword ptr [ebp-0x50], 0x0	0xb7feb3df
mov eax, dword ptr [ebp-0x54]	0xb7feb3e6
test eax, eax	0xb7feb3e9
jz 0xb7feb471	0xb7feb3eb
START: 0xb7feb50d
mov ecx, dword ptr [ebx+0x90c]	0xb7feb50d
mov dword ptr [ebp-0x60], 0x0	0xb7feb513
test ecx, ecx	0xb7feb51a
setz al	0xb7feb51c
test al, al	0xb7feb51f
jz 0xb7feb539	0xb7feb521
mov eax, dword ptr [ebp-0x88]	0xb7feb523
test eax, eax	0xb7feb529
jz 0xb7feb539	0xb7feb52b
mov esi, dword ptr [ebp-0x88]	0xb7feb52d
mov dword ptr [ebx+0x90c], esi	0xb7feb533
mov eax, dword ptr [ebp-0x78]	0xb7feb539
mov eax, dword ptr [eax+0x1f0]	0xb7feb53c
test eax, eax	0xb7feb542
mov dword ptr [ebp-0x6c], eax	0xb7feb544
jz 0xb7feb565	0xb7feb547
START: 0xb7feb565
mov esi, dword ptr [ebp-0x68]	0xb7feb565
lea eax, ptr [esi*8+0x4]	0xb7feb568
mov dword ptr [esp], eax	0xb7feb56f
call 0xb7fde7d0	0xb7feb572
START: 0xb7feb577
test eax, eax	0xb7feb577
mov dword ptr [ebp-0x5c], eax	0xb7feb579
jz 0xb7fec08c	0xb7feb57c
mov esi, dword ptr [ebp-0x68]	0xb7feb582
mov ecx, dword ptr [ebp-0x78]	0xb7feb585
mov edx, dword ptr [ebp-0x5c]	0xb7feb588
mov dword ptr [ebp-0x50], 0x0	0xb7feb58b
mov dword ptr [ecx+0x160], esi	0xb7feb592
lea eax, ptr [edx+esi*4+0x4]	0xb7feb598
mov edx, dword ptr [ebp-0x8c]	0xb7feb59c
mov esi, dword ptr [ebp-0x78]	0xb7feb5a2
mov dword ptr [ecx+0x15c], eax	0xb7feb5a5
xor ecx, ecx	0xb7feb5ab
mov edi, dword ptr [ebp+0x8]	0xb7feb5ad
mov eax, dword ptr [edx+0x4]	0xb7feb5b0
test edi, edi	0xb7feb5b3
jnz 0xb7fec00c	0xb7feb5b5
mov edi, dword ptr [esi+0x15c]	0xb7feb5bb
mov dword ptr [edi+ecx*4], eax	0xb7feb5c1
mov eax, dword ptr [edx+0x4]	0xb7feb5c4
add ecx, 0x1	0xb7feb5c7
and byte ptr [eax+0x194], 0x9f	0xb7feb5ca
mov edx, dword ptr [edx+0x8]	0xb7feb5d1
test edx, edx	0xb7feb5d4
jnz 0xb7feb5ad	0xb7feb5d6
START: 0xb7feb5ad
mov edi, dword ptr [ebp+0x8]	0xb7feb5ad
mov eax, dword ptr [edx+0x4]	0xb7feb5b0
test edi, edi	0xb7feb5b3
jnz 0xb7fec00c	0xb7feb5b5
mov edi, dword ptr [esi+0x15c]	0xb7feb5bb
mov dword ptr [edi+ecx*4], eax	0xb7feb5c1
mov eax, dword ptr [edx+0x4]	0xb7feb5c4
add ecx, 0x1	0xb7feb5c7
and byte ptr [eax+0x194], 0x9f	0xb7feb5ca
mov edx, dword ptr [edx+0x8]	0xb7feb5d1
test edx, edx	0xb7feb5d4
jnz 0xb7feb5ad	0xb7feb5d6
test byte ptr [ebx-0x353], 0x8	0xb7feb5d8
mov dword ptr [ebp-0x50], ecx	0xb7feb5df
jnz 0xb7febfb0	0xb7feb5e2
START: 0xb7feb5e8
mov esi, dword ptr [ebp-0x78]	0xb7feb5e8
mov eax, dword ptr [esi+0x15c]	0xb7feb5eb
mov edx, dword ptr [eax]	0xb7feb5f1
cmp edx, esi	0xb7feb5f3
mov dword ptr [ebp-0x64], edx	0xb7feb5f5
jnz 0xb7febf86	0xb7feb5f8
mov ecx, dword ptr [ebp-0x78]	0xb7feb5fe
mov edi, dword ptr [ecx+0x1f4]	0xb7feb601
test edi, edi	0xb7feb607
jz 0xb7febf5b	0xb7feb609
cmp dword ptr [ebp-0x50], 0x1	0xb7feb60f
jbe 0xb7feb638	0xb7feb613
START: 0xb7febf5b
mov ecx, dword ptr [ebp-0x50]	0xb7febf5b
shl ecx, 0x2	0xb7febf5e
mov dword ptr [ebp-0x64], ecx	0xb7febf61
mov dword ptr [esp+0x8], ecx	0xb7febf64
mov dword ptr [esp+0x4], eax	0xb7febf68
mov eax, dword ptr [ebp-0x5c]	0xb7febf6c
mov dword ptr [esp], eax	0xb7febf6f
call 0xb7ff6a30	0xb7febf72
START: 0xb7febf77
cmp dword ptr [ebp-0x50], 0x1	0xb7febf77
jbe 0xb7feb89a	0xb7febf7b
jmp 0xb7feb75c	0xb7febf81
START: 0xb7feb75c
mov eax, dword ptr [ebp-0x50]	0xb7feb75c
mov ecx, dword ptr [ebp-0x50]	0xb7feb75f
mov dword ptr [ebp-0x7c], esp	0xb7feb762
add eax, 0x1e	0xb7feb765
and eax, 0xfffffff0	0xb7feb768
sub esp, eax	0xb7feb76b
lea edx, ptr [esp+0x1f]	0xb7feb76d
and edx, 0xfffffff0	0xb7feb771
mov dword ptr [ebp-0x58], edx	0xb7feb774
mov dword ptr [esp+0x8], ecx	0xb7feb777
mov dword ptr [esp+0x4], 0x0	0xb7feb77b
mov dword ptr [esp], edx	0xb7feb783
call 0xb7ff6920	0xb7feb786
START: 0xb7ff695b
rep stosb byte ptr [edi]	0xb7ff695b
START: 0xb7feb78b
mov esi, dword ptr [ebp-0x50]	0xb7feb78b
mov ecx, dword ptr [ebp-0x50]	0xb7feb78e
mov dword ptr [ebp-0x4c], 0x1	0xb7feb791
mov dword ptr [ebp-0x54], 0x2	0xb7feb798
sub esi, 0x1	0xb7feb79f
add ecx, 0x3fffffff	0xb7feb7a2
mov dword ptr [ebp-0x70], esi	0xb7feb7a8
mov dword ptr [ebp-0x74], ecx	0xb7feb7ab
mov esi, dword ptr [ebp-0x4c]	0xb7feb7ae
mov edx, dword ptr [ebp-0x58]	0xb7feb7b1
mov eax, dword ptr [ebp-0x5c]	0xb7feb7b4
add byte ptr [edx+esi*1], 0x1	0xb7feb7b7
mov edx, dword ptr [ebp-0x70]	0xb7feb7bb
lea eax, ptr [eax+esi*4]	0xb7feb7be
cmp dword ptr [ebp-0x4c], edx	0xb7feb7c1
mov dword ptr [ebp-0x68], eax	0xb7feb7c4
mov esi, dword ptr [eax]	0xb7feb7c7
jnb 0xb7feb800	0xb7feb7c9
mov ecx, dword ptr [ebp-0x74]	0xb7feb7cb
mov eax, dword ptr [ebp-0x5c]	0xb7feb7ce
mov edi, dword ptr [ebp-0x70]	0xb7feb7d1
lea edx, ptr [eax+ecx*4]	0xb7feb7d4
nop 	0xb7feb7d7
mov eax, dword ptr [edx]	0xb7feb7d8
mov eax, dword ptr [eax+0x1f0]	0xb7feb7da
test eax, eax	0xb7feb7e0
jnz 0xb7feb7ef	0xb7feb7e2
jmp 0xb7feb7f5	0xb7feb7e4
START: 0xb7feb7f5
sub edi, 0x1	0xb7feb7f5
sub edx, 0x4	0xb7feb7f8
cmp dword ptr [ebp-0x4c], edi	0xb7feb7fb
jb 0xb7feb7d8	0xb7feb7fe
mov ecx, dword ptr [ebp-0x54]	0xb7feb800
cmp dword ptr [ebp-0x50], ecx	0xb7feb803
mov dword ptr [ebp-0x4c], ecx	0xb7feb806
jz 0xb7feb897	0xb7feb809
mov edx, dword ptr [ebp-0x50]	0xb7feb80f
mov eax, dword ptr [ebp-0x58]	0xb7feb812
sub edx, dword ptr [ebp-0x54]	0xb7feb815
add eax, dword ptr [ebp-0x54]	0xb7feb818
mov dword ptr [esp+0x4], 0x0	0xb7feb81b
mov dword ptr [esp+0x8], edx	0xb7feb823
mov dword ptr [esp], eax	0xb7feb827
call 0xb7ff6920	0xb7feb82a
START: 0xb7ff693a
stosb byte ptr [edi]	0xb7ff693a
dec ecx	0xb7ff693b
jz 0xb7ff695d	0xb7ff693c
stosb byte ptr [edi]	0xb7ff693e
dec ecx	0xb7ff693f
jz 0xb7ff695d	0xb7ff6940
xor edx, 0x1	0xb7ff6942
jnz 0xb7ff6949	0xb7ff6945
START: 0xb7feb82f
mov edx, dword ptr [ebp-0x54]	0xb7feb82f
add edx, 0x1	0xb7feb832
mov dword ptr [ebp-0x54], edx	0xb7feb835
jmp 0xb7feb7ae	0xb7feb838
START: 0xb7feb7ae
mov esi, dword ptr [ebp-0x4c]	0xb7feb7ae
mov edx, dword ptr [ebp-0x58]	0xb7feb7b1
mov eax, dword ptr [ebp-0x5c]	0xb7feb7b4
add byte ptr [edx+esi*1], 0x1	0xb7feb7b7
mov edx, dword ptr [ebp-0x70]	0xb7feb7bb
lea eax, ptr [eax+esi*4]	0xb7feb7be
cmp dword ptr [ebp-0x4c], edx	0xb7feb7c1
mov dword ptr [ebp-0x68], eax	0xb7feb7c4
mov esi, dword ptr [eax]	0xb7feb7c7
jnb 0xb7feb800	0xb7feb7c9
mov ecx, dword ptr [ebp-0x74]	0xb7feb7cb
mov eax, dword ptr [ebp-0x5c]	0xb7feb7ce
mov edi, dword ptr [ebp-0x70]	0xb7feb7d1
lea edx, ptr [eax+ecx*4]	0xb7feb7d4
nop 	0xb7feb7d7
mov eax, dword ptr [edx]	0xb7feb7d8
mov eax, dword ptr [eax+0x1f0]	0xb7feb7da
test eax, eax	0xb7feb7e0
jnz 0xb7feb7ef	0xb7feb7e2
jmp 0xb7feb7f5	0xb7feb7e4
START: 0xb7feb800
mov ecx, dword ptr [ebp-0x54]	0xb7feb800
cmp dword ptr [ebp-0x50], ecx	0xb7feb803
mov dword ptr [ebp-0x4c], ecx	0xb7feb806
jz 0xb7feb897	0xb7feb809
mov edx, dword ptr [ebp-0x50]	0xb7feb80f
mov eax, dword ptr [ebp-0x58]	0xb7feb812
sub edx, dword ptr [ebp-0x54]	0xb7feb815
add eax, dword ptr [ebp-0x54]	0xb7feb818
mov dword ptr [esp+0x4], 0x0	0xb7feb81b
mov dword ptr [esp+0x8], edx	0xb7feb823
mov dword ptr [esp], eax	0xb7feb827
call 0xb7ff6920	0xb7feb82a
START: 0xb7feb897
mov esp, dword ptr [ebp-0x7c]	0xb7feb897
mov eax, dword ptr [ebp-0x5c]	0xb7feb89a
mov ecx, dword ptr [ebp-0x64]	0xb7feb89d
mov dword ptr [eax+ecx*1], 0x0	0xb7feb8a0
mov edx, dword ptr [ebp-0x78]	0xb7feb8a7
or byte ptr [edx+0x196], 0x1	0xb7feb8aa
mov ecx, dword ptr [ebp-0x6c]	0xb7feb8b1
mov dword ptr [edx+0x1f0], eax	0xb7feb8b4
test ecx, ecx	0xb7feb8ba
jz 0xb7feb8c9	0xb7feb8bc
mov ecx, dword ptr [ebp-0x6c]	0xb7feb8be
mov dword ptr [esp], ecx	0xb7feb8c1
call 0xb7ff01e0	0xb7feb8c4
START: 0xb7feb8c9
mov edx, dword ptr [ebp-0x60]	0xb7feb8c9
test edx, edx	0xb7feb8cc
jnz 0xb7fec166	0xb7feb8ce
lea esp, ptr [ebp-0xc]	0xb7feb8d4
pop ebx	0xb7feb8d7
pop esi	0xb7feb8d8
pop edi	0xb7feb8d9
pop ebp	0xb7feb8da
ret 0x8	0xb7feb8db
START: 0xb7fe0d4a
sub esp, 0x8	0xb7fe0d4a
rdtsc 	0xb7fe0d4d
sub eax, dword ptr [ebp-0x88]	0xb7fe0d4f
sbb edx, dword ptr [ebp-0x84]	0xb7fe0d55
add dword ptr [ebx-0x16c], eax	0xb7fe0d5b
mov eax, dword ptr [ebp-0x7c]	0xb7fe0d61
adc dword ptr [ebx-0x168], edx	0xb7fe0d64
mov edx, dword ptr [eax+0x160]	0xb7fe0d6a
test edx, edx	0xb7fe0d70
jz 0xb7fe0d8d	0xb7fe0d72
mov esi, dword ptr [eax+0x15c]	0xb7fe0d74
mov eax, edx	0xb7fe0d7a
sub eax, 0x1	0xb7fe0d7c
mov ecx, dword ptr [esi+eax*4]	0xb7fe0d7f
or byte ptr [ecx+0x194], 0x10	0xb7fe0d82
test eax, eax	0xb7fe0d89
jnz 0xb7fe0d7c	0xb7fe0d8b
mov eax, dword ptr [ebx+0x554]	0xb7fe0d8d
mov ecx, dword ptr [ebx+0x558]	0xb7fe0d93
mov dword ptr [ecx+0xc], eax	0xb7fe0d99
mov eax, dword ptr [ebx+0x554]	0xb7fe0d9c
test eax, eax	0xb7fe0da2
jz 0xb7fe0da9	0xb7fe0da4
START: 0xb7fe0d7c
sub eax, 0x1	0xb7fe0d7c
mov ecx, dword ptr [esi+eax*4]	0xb7fe0d7f
or byte ptr [ecx+0x194], 0x10	0xb7fe0d82
test eax, eax	0xb7fe0d89
jnz 0xb7fe0d7c	0xb7fe0d8b
mov eax, dword ptr [ebx+0x554]	0xb7fe0d8d
mov ecx, dword ptr [ebx+0x558]	0xb7fe0d93
mov dword ptr [ecx+0xc], eax	0xb7fe0d99
mov eax, dword ptr [ebx+0x554]	0xb7fe0d9c
test eax, eax	0xb7fe0da2
jz 0xb7fe0da9	0xb7fe0da4
mov dword ptr [eax+0x10], ecx	0xb7fe0da6
cmp edx, 0x1	0xb7fe0da9
jbe 0xb7fe0de3	0xb7fe0dac
START: 0xb7fe0dae
mov eax, dword ptr [ebp-0x7c]	0xb7fe0dae
mov esi, dword ptr [ebp-0x9c]	0xb7fe0db1
